"","PLT_CN","STATE","PLOT","LAT","LON","spcd","FORTYPE","FORGRP","HT_MAX","BOLE_BIOMASS","TOP_BIOMASS","TOTAL_BIOMASS","common_name","scientific_name","FORGRP_NAME"
"16",3541243010690,"AZ",16,33.473569,-109.832952,122,221,220,16.764,1396.45420928875,226.0244799505,1622.47868923925,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"17",3541267010690,"AZ",19,33.481105,-109.602534,122,184,180,6.7056,42.34216550975,8.8652420232,51.20740753295,"ponderosa pine","Pinus ponderosa","Pinyon / juniper group"
"18",3541358010690,"AZ",26,33.434697,-109.922754,122,221,220,24.6888,5245.548050888,859.4177587062,6104.9658095942,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"19",3541385010690,"AZ",27,33.433327,-109.870063,122,221,220,22.5552,6790.3911892916,1186.8912396946,7977.2824289862,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"20",3541521010690,"AZ",44,33.388323,-109.880321,122,221,220,16.764,1889.99432821615,350.9460011253,2240.94032934145,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"21",3541543010690,"AZ",45,33.402962,-109.805938,122,184,180,8.8392,186.35242124435,33.49888766315,219.8513089075,"ponderosa pine","Pinus ponderosa","Pinyon / juniper group"
"22",3541564010690,"AZ",46,33.393416,-109.75231,122,221,220,21.6408,7662.6613067831,1400.5751858038,9063.2364925869,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"23",3541688010690,"AZ",61,33.347673,-109.873319,122,221,220,15.24,2558.54161908365,430.1768992374,2988.71851832105,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"24",3541719010690,"AZ",62,33.335451,-109.819753,202,201,200,18.5928,927.7777501132,157.9514911528,1085.729241266,"Douglas-fir","Pseudotsuga menziesii","Douglas-fir group"
"25",3541820010690,"AZ",63,33.345761,-109.766959,122,221,220,17.0688,1156.37328847365,214.95368870235,1371.326977176,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"26",3541979010690,"AZ",82,33.296442,-109.706436,122,221,220,14.0208,2364.6813500001,425.92539749815,2790.60674749825,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"27",3542938010690,"AZ",303,32.754599,-110.031355,122,221,220,17.0688,3939.73902073519,698.868181493357,4638.60720222855,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"28",3543052010690,"AZ",327,32.706891,-109.93265,746,265,260,20.1168,1377.83639685719,368.572057685915,1746.40845454311,"quaking aspen","Populus tremuloides","Fir / spruce / mountain hemlock group"
"29",3543052010690,"AZ",327,32.706891,-109.93265,202,265,260,32.004,6260.46219811453,1019.2455538106,7279.70775192513,"Douglas-fir","Pseudotsuga menziesii","Fir / spruce / mountain hemlock group"
"30",3543052010690,"AZ",327,32.706891,-109.93265,93,265,260,27.432,3564.2394485803,584.742784230575,4148.98223281088,"Engelmann spruce","Picea engelmannii","Fir / spruce / mountain hemlock group"
"31",3543052010690,"AZ",327,32.706891,-109.93265,114,265,260,18.5928,1130.47023317021,193.682735407548,1324.15296857776,"southwestern white pine","Pinus strobiformis","Fir / spruce / mountain hemlock group"
"32",3543052010690,"AZ",327,32.706891,-109.93265,15,265,260,22.5552,900.472683258831,147.232457126567,1047.7051403854,"white fir","Abies concolor","Fir / spruce / mountain hemlock group"
"33",3543052010690,"AZ",327,32.706891,-109.93265,18,265,260,16.764,460.885286538754,80.5753465169331,541.460633055687,"corkbark fir","Abies lasiocarpa var. arizonica","Fir / spruce / mountain hemlock group"
"34",3543152010690,"AZ",351,32.666644,-109.869145,122,221,220,31.0896,5126.44578085656,854.789301024098,5981.23508188066,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"35",3543152010690,"AZ",351,32.666644,-109.869145,114,221,220,17.3736,1486.07318908504,241.57749122101,1727.65068030605,"southwestern white pine","Pinus strobiformis","Ponderosa pine group"
"36",3543152010690,"AZ",351,32.666644,-109.869145,202,221,220,28.0416,1789.79871646095,294.91991783842,2084.71863429937,"Douglas-fir","Pseudotsuga menziesii","Ponderosa pine group"
"37",3543152010690,"AZ",351,32.666644,-109.869145,15,221,220,27.7368,726.066019850775,117.319169938934,843.385189789709,"white fir","Abies concolor","Ponderosa pine group"
"38",3543210010690,"AZ",352,32.662783,-109.841469,122,221,220,13.1064,312.15056359508,52.0061679575347,364.156731552615,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"39",3543353010690,"AZ",375,32.612126,-109.826134,202,201,200,31.3944,10255.6087277026,1625.17816735611,11880.7868950587,"Douglas-fir","Pseudotsuga menziesii","Douglas-fir group"
"40",3543353010690,"AZ",375,32.612126,-109.826134,15,201,200,22.5552,1676.94682350814,278.766294892783,1955.71311840092,"white fir","Abies concolor","Douglas-fir group"
